csfgID,ra,dec,X0,Y0,PA,ell,n,I_e,r_e,z,R_e_kpc,logMstars
22,249.634373157196,41.902003622921,121.2543,118.1815,3.35211,0.153146,0.849382,19.7011,0.0066026267911296,0.03190364,0.867341044783145,9.354
30,184.09603379649,1.27664588036736,120.1466,119.978,71.6529,0.458543,1.45841,4.8101,0.010933761917231999,0.05010607,2.2078715496734684,9.21
37,181.048937042241,3.59279192228433,118.988,120.139,48.9007,0.508415,1.09039,4.08948,0.010104776519375998,0.08931253,3.4747552446485463,
47,131.003090362143,1.67132935381267,119.8324,120.6049,67.9355,0.172632,1.62265,8.62001,0.010768176604415999,0.02813238,1.2528720220736012,9.626
61,223.371317417405,0.307166532061612,119.4403,121.424,4.36113,0.138942,0.822024,4.25028,0.009620808034992,0.04237309,1.6584643005603135,9.055
74,16.5345022226557,0.728746978549761,119.9091,120.9779,71.9764,0.524064,0.981367,4.24593,0.012070460700143998,0.05013026,2.4385143633979705,9.172
78,3.07428652881754,-0.102967655332057,120.2035,119.9872,15.6228,0.268267,1.34013,37.6074,0.006519141820329599,0.04051938,1.077187683545232,9.848
83,157.493607912096,4.55357875421903,119.8959,120.5152,-20.4031,0.159953,1.03588,3.65518,0.008709233602607998,0.1109333,3.6288892780265267,
143,172.607283378706,-0.837372362520733,119.6033,120.3626,49.4642,0.22315,0.882179,18.6044,0.0052093644394176,0.07589214,1.5461635113301657,9.488
168,200.234987347148,-0.962811455214617,120.0845,120.5923,-35.0,0.0266684,0.999311,9.31873,0.0055887201467328,0.1155739,2.413464973224357,10.125
201,148.188100804729,0.751631418526323,119.6975,120.0446,-16.4148,0.209926,1.49563,7.01271,0.008516525855376,0.02616739,0.9238989613215095,8.777
280,337.350879140936,-1.0049328524865,119.6291,119.7839,-22.7348,0.441637,0.900101,4.50038,0.009957435727008,0.05791625,2.303519076091046,9.4
495,168.433445879798,4.24059319171366,119.7804,119.6807,-28.0399,0.283008,0.95113,8.04389,0.0064686435940896,0.02350991,0.6326098644852447,8.396
550,38.127035119896,0.161174666617638,116.6102,124.7541,38.9559,0.676185,0.628112,7.29315,0.011640899982096,0.078132,3.5481420739122913,9.75
609,182.687625928824,3.11779532084973,120.0397,120.5586,-13.1173,0.133921,1.02571,6.12821,0.0068367186492528,0.1645133,3.9785108108756946,10.298
693,149.119123064838,2.85614422251627,119.1482,119.8489,-15.2723,0.0526019,1.38949,8.75577,0.004771601832043199,0.09253904,1.6938223152555547,9.724
730,169.110256096962,-0.0385154439642627,120.7916,120.0234,33.8549,0.214705,0.839329,6.32638,0.0075569618183136,0.0725622,2.15265315281631,9.657
793,250.647992914842,42.3971563051339,119.3576,120.1072,11.377,0.232469,1.07846,14.441,0.0041538130481232,0.1510806,2.2530543486049552,9.655
816,349.193131228015,-0.731606330083544,119.7771,119.9152,-6.56841,0.0773275,1.37294,13.5849,0.004221773886792,0.0429423,0.7370077569603011,9.242
894,216.810632392269,0.990291373438402,119.2317,119.8949,-28.7951,9.52454E-8,1.06232,27.1291,0.0051926104311312,0.05238415,1.093322419962145,9.911
916,3.64249635685555,-0.252845933748797,119.6907,119.929,-76.915,0.62126,0.691367,8.31389,0.009687758909135999,0.06470297,2.483573675058874,9.786
993,18.006471435239,-0.114147101912775,120.0798,120.5139,33.1287,3.60153E-8,1.138,2.76407,0.008955860423664,0.06786286,2.3989987669835657,9.485
1037,183.477717307265,1.85047849402077,119.7192,119.9358,-5.8292,1.56061E-9,1.01951,19.5866,0.0048487989591888,0.07077407,1.3499568361351129,10.004
1086,150.464109671817,3.72608937407602,120.4887,120.1439,-34.9994,0.490118,1.27314,6.23562,0.00859039987344,0.1379486,4.317788813550648,10.429
1096,3.31989244955622,-0.522855296350691,119.5767,120.6123,-23.0668,0.0,1.04976,4.57986,0.0073733356069296,0.06501682,1.8986930520232381,9.528
1125,209.767511737301,0.232420196704911,120.408,120.3232,-56.8072,0.414964,0.730226,13.2084,0.009198007563359999,0.03376773,1.2761645266441717,8.89
1151,337.923571029505,0.740947306895922,120.1356,119.8553,18.206,0.269573,1.37496,7.05303,0.006371858042088,0.1171513,2.7843423769947804,10.113
1169,30.6683252817633,0.536823211043795,120.2291,120.8216,43.9428,0.0,1.46373,8.61873,0.005612568341318401,0.04323799,0.9861826139922177,
1258,185.977190627414,0.830530173612417,119.5651,119.6367,95.6236,1.32505E-8,1.52025,7.55351,0.007519593130896001,0.02422025,0.7569097684085117,8.94
1297,234.618278410468,42.2139650811214,120.4498,119.9291,-69.9968,6.66522E-6,0.795659,8.3512,0.0062306829202463995,0.06280006,1.5539283494119518,9.549
1314,218.968090058217,-1.27526903332851,119.1909,120.9269,35.2062,0.507856,1.09725,6.81612,0.010439286543840002,0.05583258,2.3335374417368504,9.585
1414,231.540148319224,43.0217781958536,118.7605,121.3655,106.451,0.478617,1.11,3.14808,0.012099375007103999,0.02800873,1.4017777526882211,8.629
1631,33.2015192978684,-0.888798838120903,119.7182,119.7879,41.1467,0.309435,1.25729,11.7987,0.0061713475044144,0.04159562,1.045352164748748,8.962
1635,193.245947102564,2.55297741355802,122.6248,121.1045,-34.767,0.353979,0.975205,5.7387,0.010959418274112,0.06906338,2.983407460588701,9.541
1687,9.65711148524557,0.765812058836728,120.3715,119.8766,-10.4212,0.17186,1.29505,6.74766,0.006986967162067199,0.04107117,1.1693745681342709,9.175
1695,233.600089173859,43.5886244375828,120.9246,119.2165,39.4664,0.256892,1.18806,6.30042,0.009354796410959999,0.02944634,1.1374769539537615,8.569
1719,170.896672800913,-1.22699600533504,119.0793,121.4842,17.5319,0.376499,0.801938,4.65002,0.010580437231055999,0.04797774,2.0509382423500533,9.141
1742,16.5198135394246,0.247816900667189,120.6848,119.8732,-1.44858,0.678006,0.407581,7.01253,0.011717869052736,0.06588759,3.0546606428573795,9.698
1767,150.551636926454,0.980092328882799,120.2605,121.398,37.756,0.0,0.621511,7.7711,0.006284154025934401,0.1333117,3.0680682503553154,10.126
1832,39.252517735858,-0.5037763511054,120.2435,120.3403,47.6315,0.199373,1.06626,9.94808,0.005127524733408,0.07182824,1.4470569931857482,9.742
1854,132.342436644595,1.40128387715025,119.5612,119.5578,51.4102,0.22447,1.60656,3.70695,0.009348036164544,0.03444238,1.3218888966478022,8.976
1895,222.866101869282,0.00115981326886886,119.1362,120.3839,70.926,0.379709,0.741587,18.317,0.007128745004673601,0.04260311,1.2351856125486276,9.366
1928,135.786605431304,3.72207232102739,120.6005,119.8047,41.8819,0.108176,0.81625,8.30125,0.0079110276881328,0.02408244,0.7919208695958354,8.797
2012,191.391243689101,4.04110710800924,115.962,120.2082,107.246,0.466942,0.655785,4.25209,0.011045020912464001,0.07690106,3.318034847984099,9.451
2032,186.044714545784,3.25655754242024,120.4716,120.3417,136.16,1.04343E-7,1.09061,7.49426,0.006775257420993599,0.02543448,0.7150695436384641,8.653
2119,34.1319169665784,-1.02457338840756,119.2937,121.0494,5.86566,0.019561,1.52174,5.33335,0.0067071336848208,0.1667966,3.9471996496074198,10.206
2223,215.872446390762,-0.377678924066482,119.2549,120.7012,80.9672,0.397487,0.845548,10.4891,0.0077979768203568,0.03182963,1.0220765077568734,8.789
2237,187.004721438381,0.312259417932891,119.3874,120.0234,150.379,3.51877E-7,1.13211,7.52822,0.0062956871692176,0.1166661,2.7411344949437004,10.05
2317,7.29111441836727,-0.111600217672004,120.3018,119.4382,37.9253,0.499835,0.905259,7.47752,0.008206287559008001,0.06831597,2.2117063351171025,9.488
2326,240.601709625857,44.5210541256053,119.0403,120.6313,34.1195,0.0980955,0.62158,8.86718,0.007161422243976,0.06442133,1.8285481607615872,9.561
2379,133.562873904476,4.42576182986015,119.178,119.7385,-56.39,0.280865,1.3323,3.51288,0.009276768506544,0.07055501,2.575410400795814,9.325
2384,193.139092757077,0.921870738430865,119.8925,119.6926,-27.145,0.247746,1.75118,4.84429,0.00912307471152,0.04673638,1.7252582921254762,9.552
2396,342.337869013547,-0.78649997338109,119.5842,119.5417,-38.6531,0.199422,1.25459,11.9064,0.004970239048420801,0.1069677,2.006006326077729,9.778
2461,1.49244440411269,0.483362870625254,118.8519,120.9636,-64.449,3.49724E-9,1.10203,4.67386,0.006518180725056001,0.06134673,1.590858886562294,9.592
2557,142.111518995997,3.62091635296246,119.88,119.9017,-61.0668,0.164492,0.925073,7.11316,0.007473004444752,0.05670223,1.694835327812457,9.292
2609,241.502604639625,42.5961052681001,119.293,120.3117,34.1118,0.213972,0.771931,8.22565,0.007044461836103999,0.06009018,1.6867320109568402,9.371
2626,8.09275329457199,1.01138638520104,120.7016,120.4766,-33.5196,0.359905,0.644127,7.43357,0.007735530062198399,0.08177172,2.4572291858325044,9.696
2691,171.406335124208,-1.06682006060463,120.8818,121.4769,15.1522,0.0279146,0.758008,8.4085,0.0062898798732,0.1585774,3.5516963027092814,10.171
2783,143.021102477648,2.38541045472498,119.6813,120.6563,-69.2294,5.69486E-7,0.73928,8.74853,0.0060459490058352,0.09232673,2.1417831802160614,9.92
2880,181.271413446174,2.72482587857944,119.8649,120.4167,118.886,0.424724,1.13935,5.2839,0.009192061804464,0.07616583,2.7372428141712066,9.597
2896,133.081833869795,1.59712745866941,119.9334,120.3455,-69.866,0.0,0.518714,7.57165,0.0074172446291328,0.04497204,1.3526287481406176,9.273
2914,191.100114234813,0.756146541377977,119.5573,120.828,32.8833,0.182605,0.934728,5.19379,0.008936149825680001,0.0826461,2.865945258565534,9.806
2958,355.614200221209,0.632666987837752,120.2094,120.4785,-59.3835,0.26058,2.25711,7.53318,0.009643858031808,0.05960794,2.2918494244947327,9.655
2999,212.551214838242,-0.873587925425286,120.1431,120.1606,85.5781,0.0860425,1.67231,11.5943,0.0042206417491392,0.02532009,0.44351258738043653,8.692
3127,355.30752547156,-0.537564529749704,119.3342,120.4165,-26.1088,0.438826,1.24144,5.77604,0.008668509226608,0.06347927,2.1834884935088827,9.627
3297,182.896982443976,-0.699585577669479,120.9357,120.7184,103.472,0.324134,1.23193,26.2108,0.004647954481632,0.0351093,0.6694860521042622,9.069
3340,161.716079064267,1.91087205687097,119.6839,120.273,-34.554,0.350969,1.04542,3.58412,0.010490436360095999,0.1021254,4.065245238908289,9.839
3361,345.684660500987,-0.659586190456938,121.4526,119.872,49.7037,0.197544,1.17077,6.84634,0.0076819286385071996,0.05462272,1.682263018531569,9.522
3389,178.789460167629,-1.54458334078632,120.0333,119.3922,68.6161,0.361555,0.794967,3.64119,0.009801705713183999,0.07744715,2.9636304735202783,
3478,16.2582665910756,0.118503319841776,120.551,120.429,-69.3564,6.63015E-8,1.03377,8.07673,0.005304700203633599,0.04808712,1.0304857692276586,
